Comment,Designator,Footprint,LCSC,Quantity
SW_Push_45deg,SW14,SW_Cherry_MX_1.00u_PCB,,1
SW_Push_45deg,SW2,SW_Cherry_MX_1.00u_PCB,,1
RotaryEncoder_Switch,SW18,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,,1
WS2812B,D21,SK6812MINI-E_fixed,,1
WS2812B,D25,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW4,SW_Cherry_MX_1.00u_PCB,,1
WS2812B,D26,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW11,SW_Cherry_MX_1.00u_PCB,,1
WS2812B,D31,SK6812MINI-E_fixed,,1
WS2812B,D23,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW1,SW_Cherry_MX_1.00u_PCB,,1
SW_Push_45deg,SW6,SW_Cherry_MX_1.00u_PCB,,1
WS2812B,D34,SK6812MINI-E_fixed,,1
WS2812B,D27,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW8,SW_Cherry_MX_1.00u_PCB,,1
SW_Push_45deg,SW9,SW_Cherry_MX_1.00u_PCB,,1
RotaryEncoder_Switch,SW17,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,,1
WS2812B,D33,SK6812MINI-E_fixed,,1
WS2812B,D32,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW3,SW_Cherry_MX_1.00u_PCB,,1
SW_Push_45deg,SW5,SW_Cherry_MX_1.00u_PCB,,1
WS2812B,D24,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW12,SW_Cherry_MX_1.00u_PCB,,1
MOUDLE-SEEEDUINO-XIAO,U1,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,,1
WS2812B,D29,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW15,SW_Cherry_MX_1.00u_PCB,,1
SW_Push_45deg,SW16,SW_Cherry_MX_1.00u_PCB,,1
WS2812B,D30,SK6812MINI-E_fixed,,1
MCP23017_SP,U3,DIP-28_W7.62mm,,1
OLED_DISPLAY,J1,SSD1306-0.91-OLED-4pin-128x32,,1
WS2812B,D28,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW10,SW_Cherry_MX_1.00u_PCB,,1
WS2812B,D19,SK6812MINI-E_fixed,,1
SW_Push_45deg,SW13,SW_Cherry_MX_1.00u_PCB,,1
SW_Push_45deg,SW7,SW_Cherry_MX_1.00u_PCB,,1
WS2812B,D22,SK6812MINI-E_fixed,,1
WS2812B,D20,SK6812MINI-E_fixed,,1
1N4148,D11,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D4,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D9,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D14,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D17,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D7,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D6,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D10,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D13,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D16,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D8,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D5,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D12,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D2,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D18,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D3,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D15,D_DO-35_SOD27_P7.62mm_Horizontal,,1
