Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,113.03,-111.76,0.0,bottom
D10,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,151.13,-130.81,0.0,bottom
D11,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,151.13,-149.86,0.0,bottom
D12,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,151.13,-168.91,0.0,bottom
D13,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,170.18,-111.76,0.0,bottom
D14,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,170.18,-130.81,0.0,bottom
D15,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,170.18,-149.86,0.0,bottom
D16,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,170.18,-168.91,0.0,bottom
D17,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,201.93,-119.38,270.0,bottom
D18,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,201.93,-107.95,90.0,bottom
D19,WS2812B,SK6812MINI-E_fixed,74.573158,-126.178,90.0,top
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,113.03,-130.81,0.0,bottom
D20,WS2812B,SK6812MINI-E_fixed,74.573158,-134.052,90.0,top
D21,WS2812B,SK6812MINI-E_fixed,74.573158,-141.926,90.0,top
D22,WS2812B,SK6812MINI-E_fixed,74.573158,-149.8,90.0,top
D23,WS2812B,SK6812MINI-E_fixed,65.937158,-126.178,90.0,top
D24,WS2812B,SK6812MINI-E_fixed,65.937158,-134.052,90.0,top
D25,WS2812B,SK6812MINI-E_fixed,65.937158,-141.926,90.0,top
D26,WS2812B,SK6812MINI-E_fixed,65.937158,-149.8,90.0,top
D27,WS2812B,SK6812MINI-E_fixed,78.842842,-149.860001,-90.0,top
D28,WS2812B,SK6812MINI-E_fixed,78.842842,-141.926002,-90.0,top
D29,WS2812B,SK6812MINI-E_fixed,78.842842,-134.052002,-90.0,top
D3,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,113.03,-149.86,0.0,bottom
D30,WS2812B,SK6812MINI-E_fixed,78.842842,-126.178002,-90.0,top
D31,WS2812B,SK6812MINI-E_fixed,70.206842,-149.800002,-90.0,top
D32,WS2812B,SK6812MINI-E_fixed,70.206842,-141.926002,-90.0,top
D33,WS2812B,SK6812MINI-E_fixed,70.206842,-134.052002,-90.0,top
D34,WS2812B,SK6812MINI-E_fixed,70.206842,-126.178002,-90.0,top
D4,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,113.03,-168.91,0.0,bottom
D5,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,132.08,-111.76,0.0,bottom
D6,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,132.08,-130.81,0.0,bottom
D7,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,132.08,-149.86,0.0,bottom
D8,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,132.08,-168.91,0.0,bottom
D9,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,151.13,-111.76,0.0,bottom
J1,OLED_DISPLAY,SSD1306-0.91-OLED-4pin-128x32,63.665,-163.715,180.0,top
SW1,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,113.03,-100.78,0.0,top
SW10,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,151.13,-119.83,0.0,top
SW11,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,151.13,-138.88,0.0,top
SW12,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,151.13,-157.93,0.0,top
SW13,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,170.18,-100.78,0.0,top
SW14,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,170.18,-119.83,0.0,top
SW15,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,170.18,-138.88,0.0,top
SW16,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,170.18,-157.93,0.0,top
SW17,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,190.5,-116.84,180.0,top
SW18,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,190.5,-100.33,180.0,top
SW2,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,113.03,-119.83,0.0,top
SW3,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,113.03,-138.88,0.0,top
SW4,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,113.03,-157.93,0.0,top
SW5,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,132.08,-100.78,0.0,top
SW6,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,132.08,-119.83,0.0,top
SW7,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,132.08,-138.88,0.0,top
SW8,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,132.08,-157.93,0.0,top
SW9,SW_Push_45deg,SW_Cherry_MX_1.00u_PCB,151.13,-100.78,0.0,top
U1,MOUDLE-SEEEDUINO-XIAO,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,72.41,-107.95,0.0,top
U3,MCP23017_SP,DIP-28_W7.62mm,95.25,-129.54,0.0,top
